Parent Company,Country,count
SAENGSIRI AGRO‐INDUSTRIES CO. LTD,Thailand,1
EXTRACTORA VIZCAYAS S.A.S.,Colombia,1
COOPERATIVA PALMAS DE RISARALDA LTDA,Colombia,1
PALMAGRO S.A.,Colombia,1
EXTRACTORA SICARARE LTDA,Colombia,1
PALMACEITE S.A.,Colombia,1
EL ROBLE S.A,Colombia,1
FRUPALMA S.A,Colombia,1
PALMAS OLEAGINOSAS DEL MAGDALENA LTDA (PALDEMA),Colombia,1
KRIYA SWARNA PUBIAN,Indonesia,1
WAHANA KARYA MANDIRI KAHURIPAN,Indonesia,1
SINAR BENGKULU SELATAN,Indonesia,1
MENGGALA SAWITINDO,Indonesia,1
SURYA UTAMA NABATI,Indonesia,1
GARUDA BUMI PERKASA,Indonesia,1
MITRA OGAN,Indonesia,1
SAWIT MULIA,Indonesia,1
SURYABUMI TUNGGAL PERKASA,Indonesia,1
AGRICINAL,Indonesia,1
KARYA INDO SEJATITAMA,Indonesia,1
ANDIRA AGRO,Indonesia,1
SWADAYA INDOPALMA,Indonesia,1
SWARNA NUSA SENTOSA,Indonesia,1
LAMBANG SAWIT PERKASA,Indonesia,1
MULTI MAKMUR MITRA ALAM,Indonesia,1
AGRO NUSA ABADI,Indonesia,1
GRAHACIPTA BANGKOJAYA,Indonesia,1
BORNEO INDAH MARJAYA,Indonesia,1
TANJUNG SAWIT ABADI,Indonesia,1
SUMBERTAMA NUSAPERTIWI,Indonesia,1
ADHYAKSA DHARMA SATYA,Indonesia,1
TIDAR KERINCI AGUNG,Indonesia,1
KURNIA LUWUK SEJATI,Indonesia,1
MUARATOYU SUBUR LESTARI,Indonesia,1
LETAWA,Indonesia,1
MITRA SAWIT JAMBI,Indonesia,1
CITRAKOPRASINDO TANI,Indonesia,1
RUDY AGUNG AGRA LAKSANA,Indonesia,1
PASANGKAYU,Indonesia,1
TRANSCO PRATAMA,Indonesia,1
NIRMALA ABDI DAMAI,Indonesia,1
FARINDA BERSAUDARA,Indonesia,1
PRIMA PALM LATEX INDUSTRI,Indonesia,1
KARYA MITRA ANDALAN,Indonesia,1
DENDY MARKER INDAH LESTARI,Indonesia,1
INECDA PLANTATIONS,Indonesia,1
SAWITA INTER PERKASA,Indonesia,1
SWAKARSA SAWIT RAYA,Indonesia,1
PINANG WITMAS SEJATI,Indonesia,1
SINAR DINAMIKA KAPUAS,Indonesia,1
SERBA HUTA JAYA,Indonesia,1
GANDAERAH HENDANA,Indonesia,1
KARYA SAWIT LESTARI,Indonesia,1
UMADA,Indonesia,1
INTERNUSA PRIMA MAKMUR,Indonesia,1
SINTONG ABADI,Indonesia,1
KARUNIA KENCANA PERMAI SEJATI,Indonesia,1
CISADANE SAWIT RAYA,Indonesia,1
FLORA WAHANA TIRTA,Indonesia,1
DELIMA MAKMUR,Indonesia,1
POLIPLANT SEJAHTERA,Indonesia,1
SURYA BRATASENA PLANTATION,Indonesia,1
CILIANDRA PERKASA,Indonesia,1
MERBAUJAYA INDAHRAYA,Indonesia,1
PENITI SUNGAI PURUN,Indonesia,1
KALIMANTAN SAWIT KUSUMA,Indonesia,1
LANGGAM INTI HIBRINDO,Indonesia,1
